Model,Train MAE,Train RMSE,Train R²,Val MAE,Val RMSE,Val R²,Overfit Score
AdaBoost,0.14994901555219897,0.18051303076242192,0.8627942730133971,0.19183428436794633,0.2501902995440861,0.5568157822293662,-0.04188526881574736
Extra Trees,0.11789126779236778,0.15654855223537986,0.8968062880601,0.19838569092492822,0.2619889645490487,0.5140301243151737,-0.08049442313256044
Random Forest,0.1205174758728011,0.15914120723998443,0.8933599303840754,0.20133379347298203,0.26720316591583704,0.4944937247718839,-0.08081631760018093
Decision Tree,0.03951144214175346,0.08079358924095194,0.9725141654854685,0.27668972587975976,0.35770744353180106,0.094060267802613,-0.2371782837380063
Hist Gradient Boosting,0.058746794027230424,0.08141388150574712,0.9720905007254894,0.2901021265220725,0.3592347871283624,0.08630736635515734,-0.23135533249484208
