Model,CV MAE Mean,CV MAE Std,Train MAE,Train RMSE,Train R²,Val MAE,Val RMSE,Val R²,Overfit Score
Random Forest,0.26372491178176083,0.0015038689884307715,0.1400387054260854,0.18202744486588135,0.8604824410232892,0.23756659106544656,0.30344651162253133,0.33907846503215067,-0.09752788563936116
Extra Trees,0.25318090899399476,0.009342084867565447,0.13363244905076183,0.17655817613710748,0.8687404862441277,0.24478517490167429,0.30981459046153204,0.31104740929843033,-0.11115272585091246
AdaBoost,0.2597427398448441,0.009761778811984319,0.17366565018755237,0.2072015824666035,0.8192237974413976,0.24528814892417244,0.3108532536859942,0.3064201950869361,-0.07162249873662008
CatBoost,0.25104737161538887,0.016968055183001183,0.09760231815860063,0.12566918957467452,0.9335013617285712,0.318511324485247,0.3965787061934861,-0.1288711846438293,-0.22090900632664637
XGBoost,0.25780975962858804,0.022093828834634895,0.024507579793385265,0.036067585362255704,0.9945224133044746,0.3236726693530809,0.4069034078708182,-0.18841536615216636,-0.2991650895596957
Decision Tree,0.35272570519699825,0.019325746668052618,0.03593213411500196,0.072926375053537,0.9776063762708986,0.32383419483106457,0.41258050149661907,-0.22180810887892322,-0.2879020607160626
LightGBM,0.2463438268539425,0.019156706869498913,0.06547863460296485,0.08743716493734412,0.9678080519223685,0.35248073748282077,0.42986399469668735,-0.32631824772643747,-0.28700210287985595
Hist Gradient Boosting,0.2442060423529245,0.016306578583596857,0.06316594516922178,0.08439757766663981,0.9700073328963025,0.37677809060159023,0.4535005120121452,-0.47618629072451224,-0.3136121454323685
